ID|entfernung|Wohnfläche ca.|Zimmer|Garage/ Stellplatz|Kaltmiete|Nebenkosten|Gesamtmiete|Nutzfläche ca.|Alter|Wohnberechtigungsschein erforderlich|Personenaufzug|Gäste-WC|Balkon/ Terrasse|Garten/ -mitbenutzung|Einbauküche|Stufenloser Zugang|Keller|WG-geeignet|Online-Besichtigung möglich|Ausstattung_Einfache Qualität|Ausstattung_Gehobene Qualität|Ausstattung_Luxus|Ausstattung_Normale Qualität|Typ_Dachgeschoss|Typ_Erdgeschosswohnung|Typ_Etagenwohnung|Typ_Hochparterre|Typ_Loft|Typ_Maisonette|Typ_Penthouse|Typ_Sonstige|Typ_Souterrain|Typ_Terrassenwohnung|Zustand_Gepflegt|Zustand_Modernisiert|Zustand_Neuwertig|Zustand_Renovierungsbedürftig|Zustand_Saniert|Zustand_renoviert|Energieträger_Fernwärme|Energieträger_Gas|Energieträger_Holz|Energieträger_Oel|Energieträger_Solar|Energieträger_Strom|Heizung_Blockheizkraftwerke|Heizung_Elektro-Heizung|Heizung_Etagenheizung|Heizung_Fernwärme|Heizung_Fußbodenheizung|Heizung_Gas-Heizung|Heizung_Holz-Pelletheizung|Heizung_Nachtspeicheröfen|Heizung_Wärmepumpe|Heizung_Zentralheizung|Heizung_Öl-Heizung|Einzug_Sofort|Einzug_Zukunft
124911520|2.28|82.68|2.0|1|2490.0|832.5|3322.5|0.0|5.0|0|1|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0
127528923|12.07|63.64|2.0|0|865.5|197.29|1062.79|0.0|3.0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
110239455|8.1|44.34|1.0|0|633.22|132.06|765.28|0.0|3.0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
127407932|9.49|136.06|5.0|0|1795.0|345.0|2140.0|0.0|0.0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0
127407940|9.49|78.66|3.0|0|1195.0|235.0|1430.0|0.0|0.0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0
127409134|9.49|65.2|2.0|0|990.0|200.0|1190.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0
127407865|9.49|63.36|2.0|0|975.0|195.0|1170.0|0.0|0.0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0
126557879|8.14|21.6|1.0|0|519.4|129.6|649.0|21.6|4.0|0|1|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1
127916135|3.38|27.0|1.0|0|506.19|80.0|586.19|0.0|68.0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0
125770278|2.97|33.52|1.0|0|750.0|160.0|910.0|0.0|51.0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0
95416013|1.86|100.42|3.0|1|1688.96|387.67|2076.63|0.0|9.0|0|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
127915684|12.51|120.0|4.0|0|3132.0|784.0|3916.0|0.0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
